Date,Price
8/15/2019 0:00,10016.96
8/16/2019 0:00,10302.17
8/17/2019 0:00,10359.44
8/18/2019 0:00,10214.52
8/19/2019 0:00,10317.6
8/20/2019 0:00,10917.26
8/21/2019 0:00,10760.56
8/22/2019 0:00,10129.4
8/23/2019 0:00,10111.98
8/24/2019 0:00,10405.81
8/25/2019 0:00,10143.8
8/26/2019 0:00,10135.06
8/27/2019 0:00,10360.28
8/28/2019 0:00,10171.95
8/29/2019 0:00,9717.82
8/30/2019 0:00,9484.55
8/31/2019 0:00,9577.99
9/1/2019 0:00,9600.9
9/2/2019 0:00,9769.79
9/3/2019 0:00,10386.64
9/4/2019 0:00,10621.29
9/5/2019 0:00,10584.16
9/6/2019 0:00,10577.8
9/7/2019 0:00,10317.47
9/8/2019 0:00,10487.21
9/9/2019 0:00,10406.31
9/10/2019 0:00,10313.66
9/11/2019 0:00,10101.03
9/12/2019 0:00,10159.32
9/13/2019 0:00,10420.16
9/14/2019 0:00,10363.9
9/15/2019 0:00,10361.33
9/16/2019 0:00,10310.43
9/17/2019 0:00,10265.63
9/18/2019 0:00,10190.36
9/19/2019 0:00,10157.59
9/20/2019 0:00,10275.88
9/21/2019 0:00,10173.11
9/22/2019 0:00,9979.49
9/23/2019 0:00,10033.05
9/24/2019 0:00,9683.38
9/25/2019 0:00,8553.61
9/26/2019 0:00,8432.23
9/27/2019 0:00,8055.64
9/28/2019 0:00,8193.9
9/29/2019 0:00,8225
9/30/2019 0:00,8056.74
10/1/2019 0:00,8307.74
10/2/2019 0:00,8322.92
10/3/2019 0:00,8382.03
10/4/2019 0:00,8236.17
10/5/2019 0:00,8155.48
10/6/2019 0:00,8147.69
10/7/2019 0:00,7869.74
10/8/2019 0:00,8212.02
10/9/2019 0:00,8190
10/10/2019 0:00,8587.92
10/11/2019 0:00,8586.9
10/12/2019 0:00,8269.73
10/13/2019 0:00,8308.01
10/14/2019 0:00,8283.76
10/15/2019 0:00,8353.54
10/16/2019 0:00,8162.16
10/17/2019 0:00,8002.51
10/18/2019 0:00,8076.78
10/19/2019 0:00,7954.15
10/20/2019 0:00,7960.04
10/21/2019 0:00,8231.06
10/22/2019 0:00,8222.52
10/23/2019 0:00,8026.76
10/24/2019 0:00,7469.56
10/25/2019 0:00,7431.88
10/26/2019 0:00,8666.79
10/27/2019 0:00,9259.8
10/28/2019 0:00,9551.54
10/29/2019 0:00,9218.76
10/30/2019 0:00,9433.35
10/31/2019 0:00,9164.62
11/1/2019 0:00,9147.98
11/2/2019 0:00,9252.99
11/3/2019 0:00,9301.18
11/4/2019 0:00,9206.16
11/5/2019 0:00,9418.05
11/6/2019 0:00,9310.19
11/7/2019 0:00,9343.34
11/8/2019 0:00,9204.24
11/9/2019 0:00,8766.04
11/10/2019 0:00,8809.41
11/11/2019 0:00,9037.12
11/12/2019 0:00,8717.81
11/13/2019 0:00,8801.52
11/14/2019 0:00,8762.42
11/15/2019 0:00,8632.32
11/16/2019 0:00,8457.69
11/17/2019 0:00,8482.7
11/18/2019 0:00,8503.93
11/19/2019 0:00,8175.99
11/20/2019 0:00,8120.8
11/21/2019 0:00,8081.81
11/22/2019 0:00,7617.07
11/23/2019 0:00,7286.35
11/24/2019 0:00,7324.03
11/25/2019 0:00,6907.4
11/26/2019 0:00,7130.25
11/27/2019 0:00,7163.63
11/28/2019 0:00,7523.83
11/29/2019 0:00,7431
11/30/2019 0:00,7757.47
12/1/2019 0:00,7557.72
12/2/2019 0:00,7402.69
12/3/2019 0:00,7309.59
12/4/2019 0:00,7296.77
12/5/2019 0:00,7192.85
12/6/2019 0:00,7395.97
12/7/2019 0:00,7547.19
12/8/2019 0:00,7504.83
12/9/2019 0:00,7522.39
12/10/2019 0:00,7337.42
12/11/2019 0:00,7220.76
12/12/2019 0:00,7202.31
12/13/2019 0:00,7189.16
12/14/2019 0:00,7251.87
12/15/2019 0:00,7067.74
12/16/2019 0:00,7111.14
12/17/2019 0:00,6879.54
12/18/2019 0:00,6612.12
12/19/2019 0:00,7284.29
12/20/2019 0:00,7150.86
12/21/2019 0:00,7190.17
12/22/2019 0:00,7143.2
12/23/2019 0:00,7514.41
12/24/2019 0:00,7322.08
12/25/2019 0:00,7250.69
12/26/2019 0:00,7192.72
12/27/2019 0:00,7194.4
12/28/2019 0:00,7243.93
12/29/2019 0:00,7301.07
12/30/2019 0:00,7385.36
12/31/2019 0:00,7219.6
1/1/2020 0:00,7168.31
1/2/2020 0:00,7175.68
1/3/2020 0:00,6944.33
1/4/2020 0:00,7326.35
1/5/2020 0:00,7347.89
1/6/2020 0:00,7351.57
